ReviewID,ProductID,UserID,Rating,ReviewText,ReviewDate
REV2000,Product_E,User_114,4,fantastic. wonderful experience.,2023-04-17
REV2001,Product_C,User_186,2,broke easily. awful.,2023-11-27
REV2002,Product_E,User_101,3,met expectations. five stars.,2023-12-10
REV2003,Product_A,User_175,5,very satisfied. wonderful experience.,2023-11-10
REV2004,Product_C,User_158,1,worst purchase. one star.,2024-05-25
REV2005,Product_D,User_154,3,some pros and cons. works perfectly.,2023-09-01
REV2006,Product_A,User_138,5,highly recommend. amazing features.,2023-10-01
REV2007,Product_B,User_108,2,waste of money. poor quality.,2023-12-12
REV2008,Product_D,User_107,4,love this product. highly recommend. nothing special.,2023-02-04
REV2009,Product_B,User_103,2,poor quality. worst purchase.,2024-04-21
REV2010,Product_D,User_113,2,awful. customer service was bad. some pros and cons.,2023-09-28
REV2011,Product_E,User_181,5,fantastic. best purchase ever.,2023-02-22
REV2012,Product_D,User_140,4,wonderful experience. love this product. some pros and cons.,2023-06-06
REV2013,Product_D,User_107,1,broke easily. does not work.,2024-04-16
REV2014,Product_C,User_132,3,decent for the price. worst purchase.,2024-01-14
REV2015,Product_D,User_106,1,awful. one star.,2023-07-20
REV2016,Product_C,User_143,5,exceeded expectations. works perfectly.,2024-12-26
REV2017,Product_C,User_100,5,best purchase ever. easy to use.,2023-01-05
REV2018,Product_A,User_178,3,works as expected. easy to use.,2023-01-15
REV2019,Product_D,User_195,1,difficult to use. difficult to use.,2024-04-29
REV2020,Product_E,User_135,3,neither good nor bad. very satisfied.,2024-06-08
REV2021,Product_B,User_141,4,amazing features. great value.,2024-07-10
REV2022,Product_D,User_143,4,exceeded expectations. best purchase ever. some pros and cons.,2023-12-06
REV2023,Product_A,User_126,1,would not recommend. bad experience.,2024-09-24
REV2024,Product_A,User_161,3,it's okay. five stars.,2024-11-07
REV2025,Product_A,User_151,3,it's okay. five stars.,2023-04-23
REV2026,Product_C,User_155,2,broke easily. terrible product.,2023-03-22
REV2027,Product_E,User_195,4,love this product. works perfectly.,2023-08-13
REV2028,Product_D,User_189,5,very satisfied. easy to use.,2024-11-02
REV2029,Product_C,User_116,3,could be better. excellent quality.,2023-10-21
REV2030,Product_A,User_172,3,met expectations. does not work.,2023-05-04
REV2031,Product_D,User_158,4,best purchase ever. works perfectly.,2024-02-07
REV2032,Product_D,User_132,4,easy to use. excellent quality.,2024-10-01
REV2033,Product_D,User_156,3,average product. customer service was bad.,2024-04-17
REV2034,Product_C,User_106,2,worst purchase. missing features.,2023-05-24
REV2035,Product_B,User_100,1,customer service was bad. one star.,2023-10-31
REV2036,Product_A,User_198,3,works as expected. very disappointed.,2024-10-20
REV2037,Product_D,User_174,1,awful. would not recommend.,2024-09-16
REV2038,Product_C,User_188,4,amazing features. wonderful experience. average product.,2023-04-09
REV2039,Product_C,User_179,2,would not recommend. terrible product. decent for the price.,2024-11-11
REV2040,Product_C,User_116,4,love this product. five stars.,2024-10-01
REV2041,Product_C,User_153,5,exceeded expectations. excellent quality.,2023-10-10
REV2042,Product_D,User_163,1,waste of money. one star.,2024-04-25
REV2043,Product_D,User_134,3,it's okay. five stars.,2023-07-11
REV2044,Product_E,User_145,4,very satisfied. works perfectly.,2024-01-08
REV2045,Product_E,User_145,5,works perfectly. five stars.,2023-06-30
REV2046,Product_E,User_131,5,works perfectly. excellent quality.,2023-06-10
REV2047,Product_C,User_145,2,very disappointed. difficult to use. average product.,2024-09-17
REV2048,Product_A,User_132,2,broke easily. very disappointed.,2024-01-28
REV2049,Product_B,User_125,5,wonderful experience. five stars.,2024-02-12
REV2050,Product_D,User_144,1,terrible product. awful.,2023-01-20
REV2051,Product_C,User_186,4,five stars. excellent quality. neither good nor bad.,2023-05-23
REV2052,Product_A,User_157,3,met expectations. very disappointed.,2024-07-28
REV2053,Product_D,User_141,1,broke easily. one star.,2023-02-23
REV2054,Product_D,User_104,5,highly recommend. very satisfied. nothing special.,2023-04-13
REV2055,Product_D,User_115,3,average product. customer service was bad.,2023-09-26
REV2056,Product_A,User_162,3,neither good nor bad. best purchase ever.,2024-08-26
REV2057,Product_A,User_111,5,best purchase ever. best purchase ever. average product.,2024-10-02
REV2058,Product_E,User_100,1,bad experience. difficult to use.,2023-09-29
REV2059,Product_E,User_166,5,best purchase ever. works perfectly.,2023-03-17
REV2060,Product_E,User_177,1,waste of money. terrible product.,2023-08-08
REV2061,Product_E,User_175,4,best purchase ever. great value.,2023-08-06
REV2062,Product_E,User_122,1,very disappointed. waste of money.,2024-06-05
REV2063,Product_B,User_118,4,love this product. fantastic.,2024-03-17
REV2064,Product_B,User_191,4,exceeded expectations. highly recommend.,2023-06-09
REV2065,Product_C,User_132,2,broke easily. waste of money.,2024-11-21
REV2066,Product_A,User_139,1,one star. bad experience. average product.,2023-02-12
REV2067,Product_C,User_134,5,love this product. best purchase ever.,2024-12-27
REV2068,Product_B,User_189,2,does not work. missing features.,2024-02-22
REV2069,Product_E,User_174,2,awful. would not recommend.,2024-02-17
REV2070,Product_A,User_135,5,great value. amazing features.,2024-01-29
REV2071,Product_A,User_198,3,average product. fantastic.,2024-07-01
REV2072,Product_D,User_154,5,easy to use. amazing features. it's okay.,2024-06-08
REV2073,Product_D,User_188,1,bad experience. broke easily. nothing special.,2023-12-08
REV2074,Product_E,User_118,4,amazing features. easy to use.,2023-03-17
REV2075,Product_C,User_115,4,works perfectly. five stars.,2023-03-10
REV2076,Product_E,User_199,3,neither good nor bad. difficult to use.,2024-07-18
REV2077,Product_E,User_141,5,easy to use. best purchase ever.,2023-07-05
REV2078,Product_C,User_174,5,five stars. amazing features.,2024-10-19
REV2079,Product_A,User_106,4,wonderful experience. fantastic. average product.,2023-06-23
REV2080,Product_B,User_165,3,decent for the price. fantastic.,2024-05-31
REV2081,Product_A,User_185,5,love this product. easy to use.,2024-05-14
REV2082,Product_D,User_169,4,works perfectly. wonderful experience.,2023-09-09
REV2083,Product_B,User_189,3,neither good nor bad. wonderful experience.,2024-06-14
REV2084,Product_B,User_191,5,best purchase ever. highly recommend. some pros and cons.,2024-09-29
REV2085,Product_C,User_176,1,customer service was bad. missing features.,2023-12-14
REV2086,Product_A,User_155,1,very disappointed. worst purchase. decent for the price.,2023-04-27
REV2087,Product_C,User_135,5,works perfectly. highly recommend. some pros and cons.,2023-08-15
REV2088,Product_A,User_153,1,difficult to use. missing features.,2023-09-16
REV2089,Product_D,User_123,2,waste of money. awful. nothing special.,2024-10-29
REV2090,Product_B,User_159,2,one star. one star.,2023-06-27
REV2091,Product_C,User_162,4,amazing features. love this product.,2023-05-25
REV2092,Product_D,User_128,5,works perfectly. wonderful experience.,2024-07-11
REV2093,Product_E,User_146,3,could be better. broke easily.,2024-03-25
